# this table lists all the cells recorded in CM. In order to be marked as
# healthy, a neuron needs to meet the following criteria:
# - spike height > 0 mV
# - resting potential < -60 mV
#
# the heat column is used to indicate whether the recording was done at room
# temperature (RT) or at an elevated temperature (H) that should be recorded
# in the ABF file. Sometimes these data were lost, in which case an override
# value can be supplied here
name cell class base.epoch healthy complex biocytin age heat drug isolate
20140610_3_1 ead31013-ce9f-46c5-8738-947440f9bdaf onset 3 1 0 0 33 RT none colony
20140616_1_1 3a2d3fb1-b368-445a-ab99-4bcc42533f94 onset 2 0 1 0 43 RT none colony
20140626_1_1 3251cd6b-419e-4862-8c8e-3b1e4f070bf7 onset 2 1 0 0 19 RT none colony
20140627_1_1 d8451c3b-b642-4686-832f-f10e8afd6981 pause 2 1 1 0 20 RT none colony
20140627_2_1 1ba42d33-5276-4d9d-ab8e-f0d2d7523968 regular 2 1 1 0 20 RT none colony
20140630_1_1 59ca129b-03aa-4e33-b28d-d95887aacfa5 onset 3 0 0 0 23 RT none colony
20140630_1_3 bd35a078-5d16-4fe2-9cc2-6ca1226425ff fast 2 1 1 0 23 RT none colony
20140702_1_1 4d0b066a-5bee-40e4-abaa-68049b3ea07e regular 2 0 1 0 22 RT none colony
20140702_1_4 7923d8c1-bad1-4ae0-9802-8bc94f6f459b onset 2 1 0 0 22 RT none colony
20140703_2_1 4f78cf9b-92fa-4d4d-8390-0d19ff8170c4 regular 2 0 1 0 23 RT none colony
20140707_2_1 2c98c915-32ba-45e4-943c-31232dfed37b onset 2 0 0 0 27 RT none colony
20140708_1_1 057bd896-ed49-42ef-9c5b-470130ac45b6 regular 2 0 0 0 28 RT none colony
20140708_2_1 c028fdad-7faa-4d09-8dd1-873502c580bb regular 2 1 0 0 28 RT none colony
20140711_1_1 d2705f07-7425-427e-bc2d-7ecb6cbd1e90 regular 6 0 0 0 25 RT none colony
20140711_2_1 d1c1905e-cf26-40d5-a525-7ed23bea2a0e onset 2 0 0 0 25 RT none colony
20140714_1_1 93d20f5a-6444-40e5-986f-9901acda6df4 regular 2 0 0 0 25 RT none colony
20140714_2_2 1dd0a891-c23b-43eb-9040-7825fce1e462 regular 2 1 1 0 25 RT none colony
20140715_2_1 015b9bd8-6622-4a21-aa6d-c539667d17ee regular 2 1 1 0 26 RT none colony
20140716_2_1 1e1831ef-e1db-4a38-9f62-ad16bc8abefd regular 2 1 1 0 24 H none colony
20140724_1_1 a193abf5-766f-4a32-a824-2df69c68ceb8 onset 2 1 1 0 28 H none colony
20140728_1_1 43128de3-5e0b-4210-8a79-157944af4488 regular 2 1 1 0 32 H none colony
20140804_2_1 877d2d2b-de0c-4c46-bc02-664838e455d1 onset 2 0 1 0 38 H none colony
20140826_1_1 7423d0d3-0473-416b-8bd7-305722fab394 onset 2 1 1 0 37 RT none colony
20140826_1_2 8df5fc76-c94c-4be3-a17f-eb25f57603cb onset 2 1 1 0 37 RT none colony
20140827_1_1 bf3771f2-5d17-4bf2-8973-d65906d9840d onset 2 1 1 0 31 RT none colony
20140905_1_3 fe4464ab-3915-459d-a4d0-b97ad48fcaba onset 2 0 1 0 30 H none colony
20140908_1_3 49153142-1365-4810-9398-10bc8f36ec78 onset 2 0 1 0 31 H none colony
20140908_2_2 97a8ace1-4cc0-4173-b1d4-ab1c7c962aee onset 2 0 1 0 31 H none colony
20140909_1_1 9dc6addb-1350-4d2f-aa93-9878a654cccf onset 2 0 0 0 31 H none colony
20140910_2_1 32425a75-308c-4fff-a116-bb255b41de35 onset 2 1 1 0 31 H none colony
20140922_1_1 fd25a4a1-76c8-48a1-88e7-fb5c16d4fe85 onset 2 1 1 0 47 H none colony
20140922_2_2 f3909151-6e03-49fd-9e51-d970448e1994 regular 1 1 1 0 47 H none colony
20140922_2_3 5df15c9c-7e02-4f8b-8766-05e936fde2df regular 2 1 1 0 47 H none colony
20140923_1_2 e0ff5286-99b7-4c27-91df-606dd4deaa85 onset 2 1 1 0 38 H none colony
20140925_8_1 098cccb6-4701-4570-bc51-a06684765f28 regular 2 1 1 0 34 H none colony
20140926_3_1 ecc084d8-01bc-46d3-a165-12350779c063 regular 3 0 0 0 36 H none colony
20140926_3_2 4080ccf9-16c0-47e8-8451-f818e42a35dd onset 2 0 0 0 36 H none colony
20140926_4_1 3921594a-ade5-49ba-bc99-a496d2c4490d regular 2 1 0 0 36 H none colony
20140929_2_1 7a1b7d4e-201c-4abc-95bf-7133a1ac8c49 onset 2 1 0 0 37 H none colony
20140929_2_2 4a8fbf31-fdff-4e43-8396-8bd4ebf2f242 regular 3 1 1 0 37 H none colony
20140929_2_3 f86eaa6c-7f4c-47c5-8edd-700cb688ba09 trans 2 0 1 0 37 H none colony
20140930_1_2 bca122e8-d73c-4b49-8cd1-4c356373e13e onset 2 0 1 0 40 H none colony
20141002_1_2 6a0ab538-425c-45f7-8d5f-c82dbdfc2f1d onset 2 1 0 0 31 H none colony
20141002_1_3 fb688c42-9ab4-4145-9c6f-b295e7b173bb onset 2 1 1 0 31 H none colony
20141002_1_4 70cfe646-9282-4544-9738-fa9e761b7346 onset 2 0 0 0 31 H none colony
20141020_1_2 8eae92ee-98c6-4717-ae8f-8a2a945314c4 onset 3 1 0 0 30 H none colony
20141020_1_3 3fb78c96-a2f2-4149-a83a-c452e5e95aec onset 2 0 0 0 30 H none colony
20141027_2_1 a28b6cae-af61-4da9-9279-cef896feb49e onset 2 1 1 0 30 H none colony
20141028_1_1 267e5b5e-0007-44f1-9472-61980d1e85f7 onset 3 0 0 0 29 H none colony
20141030_1_3 a9350279-48dc-49d5-a2ed-b9a32faa5a0b onset 2 0 1 0 32 H none colony
20141030_2_2 c2997861-8167-41fa-8185-a523ccf4bf53 onset 2 0 0 0 32 H none colony
20141031_1_3 92472aa3-7324-41d9-b37c-186e0d619003 onset 4 0 1 0 30 H none colony
20141031_2_2 9ed0882b-437c-405b-a53c-9cab4405ace2 regular 2 0 0 0 30 H none colony
20141031_2_3 e16a430e-5c6e-46f3-af49-d8b0ffd4fc53 regular 2 1 1 0 30 H none colony
20141103_1_2 f9ccf797-1518-46e2-97c6-d650f362f5aa onset 3 1 0 0 34 H none colony
20141103_1_3 e4fd25fe-03ae-41e9-8ac2-3f50f3093b5f onset 2 1 0 0 34 H none colony
20141111_1_2 392ee02c-960b-448a-aa38-3995a2585b9b fast 2 1 1 0 38 H none colony
20141125_1_1 0bfdd1e2-1ff9-41da-aa58-7fad7a73a4c6 onset 2 0 0 0 39 H none colony
20141125_1_2 e4052cd1-4e3e-46ee-9d8c-e64babede1e5 fast 2 1 1 0 39 H none colony
20141126_1_1 2bafa682-87fa-4196-97b3-95a806795d24 onset 2 1 0 0 36 H none colony
20141203_1_1 a8341979-7db5-4158-bb64-572c04d55064 onset 4 0 1 0 37 H none colony
20141203_1_2 e1e565f0-8239-4ad8-b4be-0a8d5dc2c625 fast 2 1 0 0 37 H none colony
20141204_3_1 bee7e012-0231-43aa-8219-be72bf67bfd4 onset 2 1 1 0 35 H none colony
