unit    area
st268_1_1_1     CLM
st268_1_1_4     CLM
st268_1_2_1     CLM
st268_1_4_4     L1
st268_1_5_1     L1
st268_1_5_6     L1
st268_2_1_3     CLM
st268_2_1_4     CLM
st268_3_1_2     CLM
st268_3_1_3     CLM
st268_4_1_1     L1
st268_4_1_2     L1
st268_4_2_2     L3
st268_4_3_1     L3
st268_4_3_2     L3
st268_4_3_4     L3
st268_4_3_6     L3
st268_4_3_7     L3
st268_4_4_10    L3
st268_4_4_11    L3
st268_4_4_8     L3
st268_5_1_2     L3
st268_5_2_1     L3
st268_5_3_4     L3
st268_5_3_5     L3
st268_6_1_1     L3
st268_6_2_1     L3
st268_6_2_8     L3
st268_6_3_1     L3
st268_6_3_4     L3
st268_6_4_1     L3
st268_6_4_2     L3
st268_6_4_3     L3
st268_6_5_1     L3
st268_6_5_2     L3
st268_6_5_3     L3
st268_7_1_4     L1
st268_8_1_1     L1
st268_8_2_1     L1
st268_8_2_2     L1
st268_8_4_1     L3
st268_8_5_1     L3
st321_1_1_1     L1
st321_1_3_1     L1
st321_1_6_1     L3
st321_1_7_2     L3
st321_1_7_3     L3
st321_2_10_1    L3
st321_2_3_1     L1
st321_2_3_2     L1
st321_2_4_2     L1
st321_2_4_3     L1
st321_2_5_4     L1
st321_2_6_4     L1
st321_2_6_5     L1
st321_2_8_1     L3
st321_2_9_1     L3
st321_3_2_2     L3
st321_3_3_4     L3
st321_4_2_1     L3
st321_5_4_1     L1
st321_5_5_3     L1
st348_1_2_2     L2b
st348_1_4_3     L2b
st348_2_1_1     L2b
st348_2_4_1     L3
st348_2_4_2     L3
st348_2_4_3     L3
st348_2_5_2     L3
st348_2_5_4     L3
st348_2_5_5     L3
st348_2_6_1     L3
st348_2_6_2     L3
st348_2_6_3     L3
st348_2_6_5     L3
st348_2_6_6     L3
st348_2_6_7     L3
st348_2_7_1     L3
st348_2_7_2     L3
st348_2_7_3     L3
st348_2_7_5     L3
st348_2_7_6     L3
st348_2_7_7     L3
st348_2_7_8     L3
st348_3_1_1     L2b
st348_3_2_4     L2b
st348_3_2_5     L2b
st348_3_2_6     L2b
st348_4_1_3     NCM
st348_4_1_3     NCM
st348_4_2_2     L2b
st348_4_3_1     L2b
st348_4_3_3     L2b
st348_4_4_1     L2b
st348_4_4_2     L2b
st348_4_5_2     L2b
st348_4_5_3     L2b
st348_4_5_4     L2b
st348_4_6_4     L2b
st348_5_2_1     L3
st348_5_2_3     L3
st348_5_3_1     L3
st348_5_3_2     L3
st348_5_3_7     L3
st348_5_4_2     L3
st348_5_4_4     L3
st348_5_4_5     L3
st348_5_4_6     L3
st348_6_4_1     L3
st348_6_5_1     L3
st348_6_5_3     L3
st348_6_6_1     L3
st348_6_6_2     L3
st348_6_6_3     L3
st348_6_6_5     L3
st348_6_6_6     L3
st348_6_7_1     L3
st348_6_7_2     L3
st348_6_7_3     L3
st348_6_7_4     L3
st348_6_7_5     L3
st348_6_8_1     L3
st348_6_8_2     L3
st348_6_8_3     L3
st348_6_8_5     L3
st348_6_8_6     L3
st348_6_8_7     L3
st358_4_3_1     L2b
st358_5_2_1     L2b
st358_5_2_2     L2b
st358_6_2_4     L2b
st376_1_1_6     CLM
st376_2_1_1     CLM
st376_2_2_1     CLM
st376_2_3_1     L1
st376_2_4_2     L1
st376_2_5_1     L1
st376_4_2_1     CLM
st376_4_2_2     CLM
st376_4_3_1     CLM
st376_4_3_10    CLM
st376_4_3_2     CLM
st376_4_3_5     CLM
st376_4_3_7     CLM
st376_4_3_8     CLM
st376_4_4_1     L1
st376_4_4_5     CLM
st376_4_4_6     CLM
st376_4_5_1     L1
st376_5_1_1     CLM
st376_5_3_2     CLM
st376_5_4_1     CLM
st376_5_4_3     CLM
st376_5_5_1     CLM
st376_5_5_2     CLM
st376_5_5_4     CLM
st402_2_6_3     L2b
st402_2_7_1     L2b
st402_3_6_1     L2b
st402_3_7_1     L2b
st402_3_8_3     L2b
st402_3_8_6     L2b
st402_7_1_1     CLM
st402_7_2_1     CLM
st402_7_4_1     L2b
st418_2_1_1     L2b
st418_2_1_2     L2b
st418_2_2_1     L2b
st418_2_2_3     L2b
st418_2_3_1     L2b
st418_4_2_1     CMM
st418_4_6_2     L2b
st467_2_3_1     L2b
st481_6_4_1     L2b
st481_6_4_2     L2b
st489_1_5_1     L3
st489_1_5_2     L3
st489_1_7_1     L3
st489_1_7_4     L3
st489_1_8_4     L3
st489_1_9_3     L3
st489_2_4_1     L2b
st489_2_5_1     L2b
st489_2_5_3     L2b
st489_2_6_1     L3
st489_2_6_2     L3
st489_2_6_4     L3
st489_2_6_5     L3
st489_2_7_3     L3
st489_2_7_4     L3
st489_2_7_5     L3
st489_2_8_1     L3
st489_2_8_2     L3
st489_2_8_4     L3
st489_2_8_5     L3
st489_2_9_3     L3
st489_2_9_5     L3
st489_3_1_3     L3
st489_3_1_6     L3
st489_3_3_2     L3
st489_3_3_6     L3
st489_3_3_7     L3
st489_3_4_2     L3
st489_3_4_9     L3
st49_1_1_1      CLM
st49_1_2_1      CLM
st49_1_2_2      CLM
st49_1_4_1      CLM
st49_2_10_2     L1
st49_2_10_5     L1
st49_2_10_6     L1
st49_2_1_2      CLM
st49_2_1_4      CLM
st49_2_1_5      CLM
st49_2_3_1      CLM
st49_2_3_4      CLM
st49_2_4_1      CLM
st49_2_4_2      CLM
st49_2_4_3      CLM
st49_2_5_1      CLM
st49_2_5_2      CLM
st49_2_5_4      CLM
st49_2_5_5      CLM
st49_2_6_2      L1
st49_2_6_4      CLM
st49_2_7_1      L1
st49_2_7_7      CLM
st49_2_8_1      L1
st49_2_9_1      L1
st49_4_10_1     L1
st49_4_10_3     L1
st49_4_1_1      CLM
st49_4_11_1     L1
st49_4_11_2     L1
st49_4_1_2      CLM
st49_4_1_4      CLM
st49_4_1_6      CLM
st49_4_1_8      CLM
st49_4_2_3      CLM
st49_4_2_4      CLM
st49_4_2_5      CLM
st49_4_3_1      CLM
st49_4_3_2      CLM
st49_4_4_1      CLM
st49_4_4_2      CLM
st49_4_4_5      CLM
st49_4_5_1      CLM
st49_4_6_2      CLM
st49_4_6_8      CLM
st49_4_7_1      CLM
st49_4_9_2      L1
st49_4_9_3      L1
st49_5_1_1      CLM
st49_5_1_3      CLM
st49_5_2_1      CLM
st49_5_3_1      CLM
st49_5_3_2      CLM
st49_5_4_2      CLM
st49_5_4_3      CLM
st49_5_5_1      CLM
st49_5_5_3      CLM
st49_5_6_1      CLM
st49_5_7_1      CLM
st49_5_9_1      L1
st11_1_2_1      CMM
st376_1_1_6     CMM
st376_5_4_1     CMM
st467_5_4_1     CMM
